node,community,degree,weighted_degree,song_count,corpus_artist
Третий Путь (Многоточие и M.Squad),0,0,0.0,2,True
White Hot Ice feat. Многоточие,1,0,0.0,1,True
JILLZAY - ТВОY НОМЕР,2,0,0.0,2,True
Lustral,3,0,0.0,1,True
Regina Spektor,4,0,0.0,1,True
K'Maro,5,0,0.0,1,True
Face,6,0,0.0,5,True
Баста,7,10,16.0,50,True
Гуф,7,13,13.0,30,True
Скриптонит,7,4,6.0,20,True
Feduk,7,5,5.0,15,True
AK-47 - ДОРОГА,7,2,3.0,0,False
НОВЫЙ АЛЬБОМ 2011 ГОДА АЛЬБОМ ПРОСТО БОМБА,7,2,3.0,0,False
Элджей,7,2,2.0,18,True
СЛУШАЕМ СКАЧАТЬ МОЖНО ТУТ ://maxiload.ru/file/3712325f2bf,7,2,2.0,0,False
Моя Мишель — Хлопья летят наверх,7,2,2.0,0,False
"Feduk - РОЗОВОЕ ВИНО  - КАРАОКЕ, ТЕКСТ ПЕСНИ, LYRICS",7,2,2.0,0,False
Скриптони,7,1,1.0,0,False
Ulukmanapo — До конца,7,1,1.0,0,False
DOROFEEVA — Не забирай меня с пати,7,1,1.0,0,False
Скриптонит — na Circus,7,1,1.0,0,False
СЛУШАЕМ СКАЧАТЬ МОЖНО ТУТ ://files.berdyev.ru/pkqbha0u7kl3.html,7,1,1.0,0,False
Полина Гагарина — Голос,7,1,1.0,0,False
Slim — Есть вопросы,7,1,1.0,0,False
Птаха — Хлоп-хлоп,7,1,1.0,0,False
Slim — Свадьба,7,1,1.0,0,False
Ба — Дома,7,1,1.0,0,False
Tandem Foundation — Сверху видно всё,7,1,1.0,0,False
МиГ29 — Провода,7,1,1.0,0,False
Принцип — Заходит луна,7,1,1.0,0,False
Баста — Не все потеряно,7,1,1.0,0,False
Scally Milano — Мечты,7,1,1.0,0,False
FRIENDLY THUG 52 NGG — BOY$,7,1,1.0,0,False
Кравц — Дисконнект,7,1,1.0,0,False
Noize MC,8,8,8.0,22,True
Krec,8,2,2.0,16,True
Check,8,1,1.0,1,True
Александр «Чача» Иванов — Устрой дестрой,8,1,1.0,0,False
Наум Блик,8,1,1.0,0,False
SLIMUS,8,1,1.0,0,False
кАчевники,8,1,1.0,0,False
SunSay,8,1,1.0,0,False
ST1M — Дарвин,8,1,1.0,0,False
Каста,9,21,52.0,29,True
Тимати,9,3,5.0,19,True
Slim,9,1,3.0,18,True
Shot,9,1,3.0,2,True
Ак 47,9,1,3.0,7,True
Guf,9,1,3.0,0,False
Log dog,9,1,3.0,0,False
Ноггано,9,1,3.0,0,False
Mainsteam One,9,1,3.0,0,False
Czar,9,1,3.0,0,False
K.R.A,9,1,3.0,0,False
Shokk,9,1,3.0,0,False
1 Klas,9,1,3.0,0,False
T1One,9,1,3.0,0,False
Зануда,9,1,3.0,0,False
Bahh Tee,9,1,2.0,1,True
Natan - Моя девочка бомба,9,1,1.0,0,False
Доминик Джокер,9,1,1.0,0,False
Ginex,9,1,1.0,0,False
Bahh,9,1,1.0,0,False
DJ Хобот - грязная альбомная версия =======,9,1,1.0,0,False
Ginex &amp,9,1,1.0,0,False
Big Baby Tape,10,8,8.0,10,True
BUSHIDO ZHO — City Boy Life,10,1,1.0,0,False
Aarne — HOODAK MP3,10,1,1.0,0,False
kizaru — Bandana,10,1,1.0,0,False
Toxi$,10,1,1.0,0,False
Chief Keef — 4 ur girl,10,1,1.0,0,False
kizaru — Mama Makusa,10,1,1.0,0,False
kizaru — Big Tymers,10,1,1.0,0,False
Big Baby Tape — Legit Check,10,1,1.0,0,False
IC3PEAK,11,1,1.0,11,True
Worm,11,1,1.0,0,False
sted.d,12,0,0.0,1,True
Summer of Haze,13,0,0.0,1,True
Петя OST,14,0,0.0,1,True
Юлия Самошкина,15,0,0.0,1,True
Барды,16,0,0.0,3,True
Хатико,17,0,0.0,1,True
Барды.,18,0,0.0,1,True
Очередной MC,19,0,0.0,2,True
KRiceT,20,0,0.0,1,True
Саша Бест,21,0,0.0,1,True
Наталья Барсукова,22,0,0.0,1,True
Хаски,23,0,0.0,11,True
Кровосток,24,0,0.0,24,True
Sandy Fish,25,0,0.0,1,True
48 kbps,26,0,0.0,1,True
анна ривелотэ,27,0,0.0,1,True
Павел Пиковский,28,0,0.0,1,True
Louis Pasteur,29,5,10.0,2,True
Yanix,29,6,7.0,15,True
ATL,29,5,6.0,4,True
Hiro,29,1,2.0,0,False
Booguy,29,1,2.0,0,False
Hashtag,29,1,2.0,0,False
Пабло Прекрати,29,1,1.0,1,True
RipBeat,29,1,1.0,1,True
ATL — LAGG OUT,29,1,1.0,0,False
Ка тет — Выключатель,29,1,1.0,0,False
Yanix — No Rats This Time,29,1,1.0,0,False
SODA LUV — Badass,29,1,1.0,0,False
Scally Milano,29,1,1.0,0,False
163ONMYNECK,29,1,1.0,0,False
FEARMUCH — ШОПЛИФТЕР,29,1,1.0,0,False
Horus,30,0,0.0,1,True
Не Предел feat. Многоточие,31,0,0.0,1,True
Брутто,32,0,0.0,1,True
RSA,33,0,0.0,1,True
Dino MC47,34,2,2.0,15,True
Звонкий,34,1,1.0,0,False
Нади — Ночь,34,1,1.0,0,False
Dino MC 47,35,0,0.0,1,True
Centr,36,0,0.0,21,True
PANDAworld,37,1,1.0,1,True
boulevard depo пять минут назад,37,1,1.0,0,False
Boulevard Depo,38,5,5.0,19,True
Thomas Mraz,38,4,4.0,18,True
i61,38,3,3.0,5,True
Boulevard Depo — Gloucoma,38,2,2.0,0,False
43ai,38,1,1.0,1,True
Boulevard Depo x Pharaoh x Basic Boy,38,1,1.0,0,False
TVETH,38,1,1.0,0,False
Cold$iemens — No War,38,1,1.0,0,False
I61 — Rare Moscow Snow,38,1,1.0,0,False
TEA,38,1,1.0,0,False
IKBN - IRAQ,39,0,0.0,1,True
PHARAOH,40,1,1.0,18,True
SUPERIOR.CAT.PROTEUS,40,1,1.0,2,True
DOPECLVB,41,0,0.0,2,True
Многоточие( третий путь),42,0,0.0,1,True
Многоточие [Третий Путь],43,0,0.0,1,True
Неизвестен,44,0,0.0,3,True
Потратил тыщу баксов,45,0,0.0,1,True
Big Russian Boss,46,0,0.0,3,True
No Limit,47,0,0.0,1,True
Хайд,48,0,0.0,1,True
Loqiemean,49,0,0.0,1,True
"Хайд ""Нерв""",50,0,0.0,1,True
Oxxxymiron,51,3,3.0,24,True
Markul,51,3,3.0,18,True
Дуня,51,1,1.0,0,False
Чекист,51,1,1.0,0,False
Oxxxymiron  - FATA MORGANA,51,1,1.0,0,False
ХОЛОДНО,51,1,1.0,0,False
MC NO LIMIT,52,0,0.0,1,True
Маркул,53,0,0.0,1,True
Miyagi,54,13,13.0,17,True
Эндшпиль Опутала меня,54,1,1.0,0,False
9 Грамм – Рапапам,54,1,1.0,0,False
Эндшпиль,54,1,1.0,0,False
"Эндшпиль Опутала меня, опутала. Ты будто мой сорт",54,1,1.0,0,False
Эндшпиль - Половина моя,54,1,1.0,0,False
Эндшпиль — 8 mile,54,1,1.0,0,False
Эндшпиль — Wisdom,54,1,1.0,0,False
Эндшпиль — Skill,54,1,1.0,0,False
Эндшпиль — Adapter,54,1,1.0,0,False
Эндшпиль — Наоборот,54,1,1.0,0,False
Эндшпиль — Groove,54,1,1.0,0,False
Эндшпиль — Море,54,1,1.0,0,False
Эндшпиль — Малиновый рассвет,54,1,1.0,0,False
Vadim Tikot,55,0,0.0,1,True
не услышанный лирик,56,0,0.0,1,True
R e d e m a,57,1,1.0,1,True
"Эндшпиль, МанТана - Моя банда",57,1,1.0,0,False
Andy Panda,58,4,4.0,10,True
Andy Panda — Буревестник,58,1,1.0,0,False
"Andy Panda, Mav-d — Marmalade",58,1,1.0,0,False
Andy Panda-Темнота,58,1,1.0,0,False
"Andy Panda, TumaniYO — Оттепель",58,1,1.0,0,False
Полина Гагарина,59,0,0.0,1,True
"""Алые паруса""",60,0,0.0,1,True
Вечера Насильной Поэзии,61,0,0.0,1,True
Левон,62,0,0.0,1,True
2rbina 2rista,63,0,0.0,1,True
Сатана Печёт Блины,64,0,0.0,2,True
Алые паруса,65,0,0.0,5,True
Тандем,66,0,0.0,1,True
Песни орлятского круга,67,0,0.0,1,True
Гагарина Полина,68,0,0.0,2,True
I.B.,69,0,0.0,1,True
Александр Шуров,70,0,0.0,1,True
Charlie Mole,71,0,0.0,1,True
сатана печет блины,72,0,0.0,1,True
Валерия Лесовская,73,0,0.0,1,True
➨ Levon,74,0,0.0,1,True
