node,community,degree,weighted_degree,song_count,corpus_artist
★ Ак-47 ★,0,0,0.0,1,True
АК-47,1,23,6.332165635716052,57,True
Витя АК-47,1,6,1.9230127361399574,11,True
Восточный округ,1,5,1.7753980838799976,17,True
ак-47,1,5,1.7571045013879538,5,True
Ак-47,1,5,1.7241420116265005,13,True
•АК-47,1,3,1.4628688179376441,1,True
►АК-47,1,3,1.4628688179376441,1,True
Rewake,1,2,1.4527532993364867,1,True
АК- 47,1,3,1.4508395682853772,1,True
Юрий Хованский,1,2,1.4371478332161596,1,True
┴═╦╕АК-47,1,3,1.362936345983488,2,True
EK Playaz п.у. Клоунеско,1,2,1.3386743067332554,1,True
Клоунеско,1,3,1.3145915705295983,3,True
EK Playaz,1,2,1.251470396089769,1,True
АК 47,1,3,0.9864481849481732,3,True
█ Ак-47,1,2,0.8021125947380667,1,True
Ак,1,2,0.7344419377043789,3,True
Ака 47,1,1,0.32797199091068235,1,True
[АК-47],1,1,0.23311806437320537,2,True
Витя Ака 47,1,1,0.2306838189167272,1,True
Ак 47,1,1,0.22654598299040304,3,True
ака 47,1,1,0.2173054267376709,1,True
Мот,2,0,0.0,29,True
Злой Дух,3,3,2.173836910838432,1,True
Круть,3,3,2.173836910838432,1,True
Злой дух,3,3,2.122103791613061,1,True
Кровосток,3,7,1.8017722604855535,24,True
ИСН,3,2,0.5266610807755122,11,True
ТРИАГРУТРИКА,4,7,4.878781923636427,3,True
ТРИАГРУТРИКА ],4,7,4.756592317786767,1,True
12 ТРИАГРУТРИКА,4,6,4.4145347553607435,1,True
Триагутрика,4,6,4.2601156708064565,1,True
TRIAGRUTRIKA,4,6,4.172385502126082,2,True
ТГК,4,9,3.9583036979921786,24,True
the Chemodan,4,10,3.305912008410798,22,True
Надо по делам,4,3,2.3134053925382214,1,True
Brick Bazuka – Это реп,4,3,2.312974489211056,1,True
Триагрутрика,4,5,2.2991437276782056,15,True
Восточный Округ,4,3,2.291209849990069,5,True
Slim,4,5,1.7423612913547335,18,True
Eminem,4,2,0.9452183696972492,4,True
Donnie Brasco,5,2,1.1940922444598137,1,True
100 music,5,2,1.1907116796347772,1,True
Boulevard Depo,6,8,2.5423538005574686,19,True
DOPECLVB,6,3,1.6044174020799387,2,True
IKBN - IRAQ,6,3,1.5922715818157331,1,True
i61,6,3,1.2823720677497874,5,True
PANDAworld,6,1,0.25486049000831607,1,True
ШИРЯЕВ ОЛЕГ,7,0,0.0,1,True
Эдуард Эдуаши,8,0,0.0,1,True
ЮГ,9,0,0.0,1,True
Ясвена,10,0,0.0,1,True
ак 47,11,0,0.0,1,True
Многоточие,12,60,15.839474762777089,135,True
Баста,12,32,8.931585368106893,50,True
Смоки Мо,12,24,6.186939603908776,31,True
Птаха,12,21,5.579480222992619,23,True
Гуф,12,17,5.2018929969751175,30,True
Тимати,12,19,4.49936794994605,19,True
Krec,12,16,4.207647894236509,16,True
Ассаи,12,16,4.080005204105648,13,True
Вульгарный Тонн,12,13,3.6199661419545017,22,True
Триада,12,10,2.7711950951494457,19,True
Johnyboy,12,9,2.323700371014615,23,True
Скриптонит,12,7,2.039075324707559,20,True
Каста,12,7,2.0031033971979655,29,True
Centr,12,5,1.899788311399964,21,True
Рем Дигга,12,7,1.897985192460783,22,True
