artist,neighbor,score
Смоки Мо,"Баста, Смоки Мо",0.4821646684297986
Смоки Мо,Баста и Смоки Мо,0.4131323914414599
Смоки Мо,Баста,0.3849384980703395
Смоки Мо,Onyx,0.3565075701032818
Смоки Мо,Krec,0.2883209967958911
Смоки Мо,Гуф,0.28170181198061023
Смоки Мо,Рем Дигга,0.28148653320668915
Смоки Мо,Вульгарный Тонн,0.2803709018569024
Смоки Мо,Птаха,0.2773702185179142
Смоки Мо,Триада,0.2741879823933886
Каста,Гуф,0.3237516795126659
Каста,Баста,0.3002234792732423
Каста,Птаха,0.29255076239646666
Каста,Триада,0.28948673133369174
Каста,Вульгарный Тонн,0.28845425554605497
Каста,Смоки Мо,0.26816342550512773
Каста,Johnyboy,0.2673498435528413
Каста,Рем Дигга,0.2649380268388541
Каста,ОУ74,0.2620789843079566
Каста,Тимати,0.2615160701368091
Мот,Ассаи,0.20314473188585347
Мот,Птаха,0.202682937495327
Мот,Триада,0.20089377254691926
Мот,Баста,0.19977321010159502
Мот,Feduk,0.19846186719073153
Мот,Тимати,0.1969856603527537
Мот,Вульгарный Тонн,0.19680458163758827
Мот,Krec,0.19632535893019729
Мот,Смоки Мо,0.1939353755444788
Мот,Каста,0.1863668294541743
Баста,Баста / Гуф,0.5307344612469462
Баста,Гуф,0.4030669673474312
Баста,Смоки Мо,0.3849384980703395
Баста,"Баста, Смоки Мо",0.3240811846905178
Баста,Баста и Смоки Мо,0.30795833350140217
Баста,Птаха,0.3033565353377847
Баста,Рем Дигга,0.3012152968409713
Баста,Каста,0.3002234792732423
Баста,Krec,0.2983295983617895
Баста,Вульгарный Тонн,0.2978031524972697
Гуф,Баста,0.4030669673474312
Гуф,Птаха,0.40008754554914494
Гуф,ОУ74,0.38172235425178513
Гуф,Баста / Гуф,0.3810455826786862
Гуф,Centr,0.34498480864585435
Гуф,ТГК,0.33520871200374636
Гуф,Каста,0.3237516795126659
Гуф,Вульгарный Тонн,0.31025481184746106
Гуф,Триагрутрика,0.2949759574535546
Гуф,Тимати,0.28357698884088994
Oxxxymiron,Porchy,0.30320866923540885
Oxxxymiron,Markul,0.2927199587315318
Oxxxymiron,Вульгарный Тонн,0.2790782038104597
Oxxxymiron,Смоки Мо,0.27090453249093804
Oxxxymiron,Гуф,0.2689615107371903
Oxxxymiron,Птаха,0.25303290650949645
Oxxxymiron,Johnyboy,0.24623306891451444
Oxxxymiron,Каста,0.24218009761065512
Oxxxymiron,Скриптонит,0.24030954686580916
Oxxxymiron,Баста,0.2369809013110496
Король и Шут,Каста,0.21480823461140713
