artist,n_songs,n_tokens,ttr,hapax_ratio,mat_density,sentiment_lex,top_emotions,year_min,year_max
Многоточие,336,107850,0.5795467257302802,0.4345499192486616,0.004174084277329881,0.016509226375651352,"joy:2026,sadness:870,anger:454",1998.0,2008.0
Баста,293,122340,0.554094240858237,0.4221648643488687,0.008910393217346862,0.010187792143036709,"joy:1328,sadness:389,fear:334",1980.0,2025.0
Егор Крид,154,40501,0.4260074913223075,0.2739452014989775,0.0010692112584889352,0.03586695418380237,"joy:1345,sadness:354,anger:54",2015.0,2016.0
Drago,144,46640,0.48599083885578576,0.3363798870635512,0.0048558361111429365,0.03319034165010796,"joy:1464,anger:158,sadness:114",2005.0,2005.0
OBLADAET,139,44064,0.5866686965209938,0.44446051148746735,0.0064061652442190435,0.008399201972372032,"joy:317,fear:90,sadness:87",2015.0,2018.0
Тони Раут,138,39665,0.5867048774807547,0.43785159570197496,0.005777416120384873,-6.527343299370545e-05,"joy:493,fear:301,anger:258",2010.0,2022.0
Jah Khalib,124,33187,0.5405961362437605,0.3798973402302236,0.0011056875779088121,0.021947787261887144,"joy:662,sadness:227,surprise:93",2016.0,2019.0
ST,123,40207,0.47351016028010584,0.32811138492756636,0.0010862121469856674,0.021225740255102196,"joy:762,sadness:175,anger:74",1991.0,2015.0
Гарри Топор,115,35455,0.6203296395641406,0.4837894014816276,0.005113659781874195,0.001858022925416208,"joy:358,anger:200,fear:164",2012.0,2013.0
Рем Дигга,113,39922,0.6447274989168892,0.5109320019129268,0.007341514975155946,0.003825923574499364,"joy:428,sadness:184,fear:166",2011.0,2022.0
АК-47,73,28345,0.5182374891750775,0.3869846008166699,0.015217132952704824,0.007492317734929321,"joy:231,disgust:67,sadness:43",2009.0,2016.0
Loqiemean,59,13480,0.6423117063875551,0.5177169610675474,0.0036495754434277923,0.007608064593837073,"joy:178,sadness:101,anger:51",2016.0,2016.0
Эндшпиль,55,17338,0.5711602829457151,0.4260776163388708,0.0028862533092077793,0.03944520105697402,"joy:603,sadness:121,anger:29",2016.0,2020.0
25/17,48,13383,0.5608077446971254,0.4139733098798593,0.0006608294115589326,0.02908749746587731,"joy:291,fear:53,sadness:53",2005.0,2023.0
Скруджи,45,11347,0.5606705771768193,0.43037093016211597,0.003992830822800746,0.0085916885932962,"joy:78,anger:39,disgust:34",2016.0,2016.0
Гуф,32,14715,0.5687714763171945,0.42241485875518436,0.011469522392235934,0.007696343588386938,"joy:167,sadness:28,fear:26",1979.0,2024.0
Смоки Мо,31,11840,0.5457533772245501,0.4060239631185465,0.0018826970871888046,0.018881765766062347,"joy:179,sadness:62,fear:49",2004.0,2026.0
