year,n_songs,token_volume,mean_ttr,mean_mat_density,mean_sentiment_lex
1853,1,329,0.5714285714285714,0.0060790273556231,0.0060790273556231
1919,1,548,0.46897810218978103,0.0018248175182481751,0.032846715328467155
1962,1,262,0.37404580152671757,0.0,0.0
1966,2,298,0.5625510204081632,0.0,0.00760204081632653
1978,1,111,0.6396396396396397,0.0,0.02702702702702703
1979,2,760,0.6745560702567073,0.0031847133757961785,0.014741362671298977
1980,2,898,0.517109096232773,0.0011389521640091116,0.02525297641202773
1984,1,149,0.5704697986577181,0.0,0.006711409395973154
1990,1,128,0.7265625,0.0,0.0078125
1991,1,190,0.6947368421052632,0.0,0.021052631578947368
1994,3,579,0.3229800738775298,0.0,0.031007751937984496
1995,5,910,0.4692564096646136,0.0,-0.056338495575221234
1997,2,378,0.33821120623049106,0.0,0.011682170782210958
1998,5,1845,0.49153141146602064,0.004264602392681211,-0.0049766357565302595
1999,6,2268,0.49405767429445097,0.0,0.0139975473164592
2000,12,3202,0.46028911155614916,0.0005376344086021505,0.008100177855309395
2001,33,11231,0.544073391340593,0.0012946913987721053,0.023281289436180037
2002,28,7772,0.6024431022371718,0.005844697081061732,0.009082263451904238
2003,19,6437,0.5565866383616068,0.004544498970240294,0.019818214576745305
2004,19,6706,0.5921682329478262,0.005895213269435348,0.007123751080663915
2005,24,9563,0.5415100206738805,0.003309792869502027,0.007732850516139999
2006,16,5097,0.5564508414037678,0.005741915108040705,0.0104241681998786
2007,30,7982,0.5745046752931195,0.0028840593396554422,0.01114129226005338
2008,61,18539,0.5516877058083751,0.005168801781875326,0.016606979863424645
2009,54,18255,0.56326467545465,0.011321056711358067,0.014481563645910515
2010,36,13194,0.5633227939722913,0.006773248209306128,0.00995380778322709
2011,40,13412,0.5879696029055199,0.004250795384124114,0.03326453695311567
2012,22,6692,0.5587668151530987,0.0029888831158639733,0.015372114160108391
2013,46,14157,0.553530956130368,0.004591478559663007,0.016935004638760444
2014,72,24012,0.5877382350202058,0.014683471031656467,0.01381751885851679
2015,41,17207,0.49054449968980174,0.0029168955132647125,0.013575168324313922
2016,81,26134,0.5377027468117681,0.003438589007467038,0.016705808330559613
2017,44,13006,0.49060509784592093,0.0048833352751315616,0.00769029331982847
2018,34,9975,0.5321009205148498,0.0037477409608422272,0.017390329473563566
2019,35,10570,0.5126180208515045,0.00601103592743729,0.012640517622269854
2020,27,9436,0.5407259054658405,0.00921964445914802,0.020944160777907655
2021,73,22276,0.4948763908767104,0.005097836264808188,0.012540094215943808
2022,59,18609,0.481299824690992,0.009624263064309599,0.00895283791296347
2023,139,43962,0.472184156205461,0.008506947346453821,0.010699235523334537
2024,66,18682,0.47782212595234774,0.002734657976266235,0.009347230378061825
2025,64,16796,0.4951441960756634,0.0037841238794345815,0.013882569610202504
2026,30,9441,0.5295417344210605,0.004313513818323207,0.0117972312521397
