artist,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
Oxxxymiron,0.1631759460950935,0.01514087986129978,0.13561705247965172,0.011508494816110633,0.031115791427293215,0.06565550710909306,0.00515695322763978,0.18688095970662766,0.027540067443771615,0.051843595978301425,0.10231016445308506,0.048173186910515656,0.006551666079745775,0.021997357046889196,0.026584850268325803,0.012085444260249581,0.033783613542105975,0.008171261053839701,0.023642190581542266,0.02306501765881859
Скриптонит,0.14715175510032172,0.0028641753189091587,0.03307453330242362,0.00572066703743708,0.02621947437925761,0.15345768177844926,0.0002145763425370113,0.16332262564199712,0.02558059584428888,0.035484704824590735,0.28618398351698837,0.01496739110060295,0.019237896117430615,0.0030098971361700077,0.008112837606388855,0.019785471928510705,0.04504565628884857,0.005071542019019239,0.0040311242308392545,0.0014634104849891726
Баста,0.14775759208021724,0.016063223638437134,0.04044742958635939,0.02645685289230401,0.040114126011569926,0.11660608602225196,0.005441479280635563,0.20050085084429847,0.006354918648513854,0.05388620079625765,0.06623120790833997,0.03136573483748996,0.03779953982141079,0.024286505764789752,0.030144216393765477,0.031100372463072064,0.0605397655691363,0.011683838028048977,0.04064896408575473,0.012571095327346814
JILLZAY - ТВОY НОМЕР,0.0008296227636234227,0.00017870304411093198,0.0003784244366209634,0.00018482098900777014,0.030644381241343895,0.0011097216472700027,0.00015435916857396375,0.562263093708965,0.00018816440772422113,0.11203822492716714,0.11226890606297335,0.037590607360793976,0.00013909264618488875,0.00013300745764704885,0.0003009353913253375,0.08802890191535231,0.05312226172777598,0.00014939291310332804,0.00016741471676618195,0.00012996347367031714
Lustral,0.0015021321005075957,0.0003260060492586873,0.0006903094782613706,0.00033716696034572966,0.0005804174933202778,0.09231983506735598,0.0002815957885177602,0.6620884873029507,0.0003432663080620313,0.00044079673254169817,0.0009201778085843958,0.0003327056343506928,0.00025374522830483927,0.01873459406930762,0.21912685663908962,0.00041683668491954346,0.0004900309529908735,0.00027253588286865705,0.0003054128490265114,0.0002370909694354026
Regina Spektor,0.03460939744347322,0.0002820936032011567,0.0005973566687240923,0.04388117226833034,0.0005022394096721999,0.001741393541368083,0.00024366531132877296,0.6247520109379471,0.00029702893291028615,0.0003814221284868247,0.0007971047055290966,0.000287890737222175,0.00021956618911158596,0.0002099603385044198,0.20503600790583648,0.0003606895483413502,0.0004240241426501407,0.02207792641728448,0.00026427428750118047,0.06303477548257705
K'Maro,0.2963680682989541,0.007611416894959423,0.026158681651526513,0.0001294380952336208,0.026165815582587744,0.033575237454722545,0.00010810437591068967,0.06952446090210523,0.00013177962940694838,0.00016922146064007358,0.017154831775141446,0.06594731787819351,9.741256699007657e-05,9.315084935710864e-05,0.00021075786620458107,0.00016002323849987103,0.0001881223907274933,0.010277630962497678,0.00011724773005344936,0.44581128039628787
Face,0.0816138534609175,0.013329096973911797,0.03163601078157628,0.0002905303409996956,0.00894808642227327,0.2302801851987625,0.003215026618868363,0.07296579201005896,0.011714149506255432,0.035060702197628024,0.09400178139763157,0.004650327657816679,0.03794929329109577,0.00020908178631679047,0.021093540489294637,0.041977652924580916,0.29457697456170323,0.016020449148284346,0.0002631684501787348,0.00020429678184545917
Гуф,0.20454766835345142,0.030593174677010518,0.09305164703108716,0.0036371212439910154,0.00974958792754448,0.10889053581980952,0.0028118578706117533,0.12277160167497578,0.0020859225376516407,0.03980181753033114,0.11923809244236898,0.09599518899026745,0.005500287430252799,0.028416366524243192,0.009616590015816644,0.05756462175681869,0.010751595848160343,0.0036913979313521893,0.02981045003842051,0.02147447435583478
Noize MC,0.1365282107217096,0.02765670615510283,0.09976054730532985,0.006066882743219446,0.011929775595841489,0.07111675451974744,0.00150973147454039,0.13888162083516142,0.0019471662966911696,0.02490861854834462,0.1064716093739985,0.1270465351235117,0.020825649105579165,0.0016929348067853886,0.05708995445440221,0.01188155792092766,0.06002549395966665,0.029231256217414483,0.06271922438957155,0.002709770452454466
