topic_id,label,top_terms,top_term_weights,c_v_coherence
0,гусь/генг/эй,"гусь, генг, эй, твой, ха, свой, глаз, знать, хотеть, давать, тело, слушать, рука, спать, любить","0.0133, 0.0132, 0.0132, 0.0126, 0.0076, 0.0070, 0.0056, 0.0047, 0.0044, 0.0040, 0.0038, 0.0038, 0.0036, 0.0034, 0.0034",0.39989342885796997
1,твой/дышать/минимум,"твой, дышать, минимум, хотеть, красиво, любить, звук, мешать, снова, фиолетовый, переставать, наш, вата, девочка, цвет","0.0128, 0.0114, 0.0108, 0.0093, 0.0079, 0.0070, 0.0069, 0.0066, 0.0065, 0.0065, 0.0064, 0.0063, 0.0063, 0.0061, 0.0058",0.39265973372488416
2,лига/дари/минус,"лига, дари, минус, лигалайзи, битый, децла, триада, гулять, музыка, ай, mc, дом, хип, вечеринка, хоп","0.0187, 0.0115, 0.0110, 0.0094, 0.0069, 0.0065, 0.0058, 0.0058, 0.0057, 0.0053, 0.0053, 0.0052, 0.0049, 0.0048, 0.0046",0.40392136129911665
3,тук/дигга/любить,"тук, дигга, любить, рэп, паук, свой, друг, кутюра, гламур, день, токсик, рем, сон, стать, мочь","0.0347, 0.0085, 0.0073, 0.0069, 0.0068, 0.0064, 0.0061, 0.0056, 0.0051, 0.0043, 0.0038, 0.0038, 0.0037, 0.0037, 0.0036",0.4098174354203098
4,свой/большой/знать,"свой, большой, знать, дать, твой, слушать, дурак, глаз, текст, б, белый, яндекс, музыка, слушайте, идти","0.0083, 0.0082, 0.0068, 0.0054, 0.0046, 0.0042, 0.0038, 0.0036, 0.0036, 0.0036, 0.0036, 0.0035, 0.0033, 0.0031, 0.0030",0.37762449861097813
5,лёд/долбить/твой,"лёд, долбить, твой, пусть, вокруг, сколько, мозг, друг, шум, ништяк, замерзать, кипишевать, әнкәть, завязывать, рэп","0.0092, 0.0092, 0.0082, 0.0069, 0.0067, 0.0059, 0.0059, 0.0058, 0.0057, 0.0054, 0.0053, 0.0051, 0.0049, 0.0049, 0.0047",0.4139183249061526
6,ах/давать/долго,"ах, давать, долго, аа, гриб, рука, день, гора, зелёный, попугай, флекс, африка, река, ширина, деньга","0.0156, 0.0104, 0.0091, 0.0086, 0.0080, 0.0079, 0.0078, 0.0075, 0.0068, 0.0068, 0.0061, 0.0059, 0.0056, 0.0056, 0.0055",0.4429973837570277
7,знать/твой/свой,"знать, твой, свой, видеть, хотеть, день, любовь, глаз, мочь, наш, время, мир, небо, жить, слушать","0.0092, 0.0090, 0.0071, 0.0069, 0.0059, 0.0058, 0.0056, 0.0053, 0.0052, 0.0049, 0.0046, 0.0045, 0.0044, 0.0042, 0.0040",0.3777269941299903
8,твой/рэп/хип,"твой, рэп, хип, хоп, музыка, новый, битый, 5, 2011, свой, минута, хотеть, минус, новинка, клубняк","0.0105, 0.0073, 0.0056, 0.0053, 0.0050, 0.0050, 0.0047, 0.0046, 0.0045, 0.0044, 0.0043, 0.0043, 0.0042, 0.0039, 0.0037",0.3045150226167045
9,игра/готовый/свой,"игра, готовый, свой, огонь, твой, таракан, стать, хороший, москва, мир, хип, пока, играть, война, хотеть","0.0096, 0.0073, 0.0068, 0.0061, 0.0057, 0.0054, 0.0052, 0.0050, 0.0047, 0.0045, 0.0041, 0.0041, 0.0039, 0.0039, 0.0038",0.2619032848495887
